JOB_DISCIPLINE_NAME,Standard Craft,Craft Grouping
Millwright (Fab),03-Mech Fitters,Fitup
Plumbing (Fab),04-Pipe Fitters,Fitup
Pipefitter,04-Pipe Fitters,Fitup
Pipefitter 1,04-Pipe Fitters,Fitup
Pipefitter Trainee,04-Pipe Fitters,Fitup
2 Pipefitter (Fab),04-Pipe Fitters,Fitup
Machinist (Fab)-AWS,04-Pipe Fitters,Fitup
Pipefitter (Fab)-Hook up,04-Pipe Fitters,Fitup
Pipefitter (Fab)-W/HOUSE,04-Pipe Fitters,Fitup
Pipefitter(Fab),04-Pipe Fitters,Fitup
Process Electrician (Fab),06-Electricians,E&I
Pipeline Welding (OffCon),05-Pipe Welders,Weld
Pipeline Welding (Fab),05-Pipe Welders,Weld
Instrument Fitter (Fab),07-Inst. Fitters,E&I
HVAC Technician (Fab),06-Electricians,E&I
Maintenance Electrician (Fab),06-Electricians,E&I
Process Electrician,06-Electricians,E&I
5 Electrician,06-Electricians,E&I
Maintenance Electrician,06-Electricians,E&I
Maintenance Electrician (Fab)-W/HOUSE,06-Electricians,E&I
Process Electrician (Fab)-E & M,06-Electricians,E&I
Process Electrician (Fab)-Hook up,06-Electricians,E&I
Process Electrician (Fab)-IT,06-Electricians,E&I
Process Electrician (Fab)-W/HOUSE,06-Electricians,E&I
HVAC TECHNICIAN,06-Electricians,E&I
Painter (Fab),08-Painters,Paint
Sandblasting (Fab),08-Painters,Paint
6 Instrument Fitter (Fab),07-Inst. Fitters,E&I
Instrument Fitter (Fab)-Hookup,07-Inst. Fitters,E&I
INSTRUMENT TECHNICIAN,07-Inst. Fitters,E&I
Scaffolding (Fab),12-Scaffolding,Scaffold
Carpenter (Fab),12-Scaffolding,Scaffold
Painter,08-Painters,Paint
Painter 1,08-Painters,Paint
Painter 2,08-Painters,Paint
Painter 4,08-Painters,Paint
Painter Foreman,08-Painters,Paint
Sandblaster 1,08-Painters,Paint
7 Painter (Fab),08-Painters,Paint
SANDBLASTER,08-Painters,Paint
Forklift Operator (Fab),09-Riggers (Incl. Operators),RIGR
